domain,variant,query_idx,question,judge_faithfulness,judge_relevance,judge_coherence,judge_completeness,faithfulness_reason,relevance_reason
healthcare,hybrid_bm25_heavy,2,What is the normal range for blood pressure and oxygen saturation?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_bm25_heavy,3,What are the Five Rights of medication administration?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_bm25_heavy,4,Explain the different precaution levels used in infection control.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_bm25_heavy,5,"What diagnostic test measures red and white blood cells, hemoglobin, and platelets?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_semantic_heavy,1,What are the main HTTP verbs used in RESTful APIs and what do they do?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_semantic_heavy,2,Explain the three normalization forms in database design.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_semantic_heavy,3,What authentication mechanisms are commonly used for APIs?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_semantic_heavy,4,What is the difference between Authorization and Authentication?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_semantic_heavy,5,How should API responses handle errors?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,semantic_only,1,What are the main HTTP verbs used in RESTful APIs and what do they do?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,semantic_only,2,Explain the three normalization forms in database design.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,semantic_only,3,What authentication mechanisms are commonly used for APIs?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,semantic_only,4,What is the difference between Authorization and Authentication?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,semantic_only,5,How should API responses handle errors?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_bm25_heavy,1,What are the main HTTP verbs used in RESTful APIs and what do they do?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_bm25_heavy,2,Explain the three normalization forms in database design.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_bm25_heavy,3,What authentication mechanisms are commonly used for APIs?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_bm25_heavy,4,What is the difference between Authorization and Authentication?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
technical,hybrid_bm25_heavy,5,How should API responses handle errors?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_semantic_heavy,1,What are the three main financial statements and what do they show?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_semantic_heavy,2,Explain the difference between GAAP and IFRS accounting standards.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_semantic_heavy,3,What is the debt-to-equity ratio and what does it measure?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_semantic_heavy,4,What is the cash conversion cycle and why is it important?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_semantic_heavy,5,"What are direct costs, indirect costs, and how do they affect unit cost?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,semantic_only,1,What are the three main financial statements and what do they show?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,semantic_only,2,Explain the difference between GAAP and IFRS accounting standards.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,semantic_only,3,What is the debt-to-equity ratio and what does it measure?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,semantic_only,4,What is the cash conversion cycle and why is it important?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,semantic_only,5,"What are direct costs, indirect costs, and how do they affect unit cost?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_bm25_heavy,1,What are the three main financial statements and what do they show?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_bm25_heavy,2,Explain the difference between GAAP and IFRS accounting standards.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_bm25_heavy,3,What is the debt-to-equity ratio and what does it measure?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_bm25_heavy,4,What is the cash conversion cycle and why is it important?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
financial,hybrid_bm25_heavy,5,"What are direct costs, indirect costs, and how do they affect unit cost?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
